Anthony	100225	61	100	6	100
Madison	104804	74	44	4	56
Ryan	103957	8	6	94	50
Alyssa	132453	0	63	63	12
Sarah	140980	17	100	52	92
Samantha	142748	3	35	36	36
Daniel	105630	0	83	30	92
Alexander	101611	76	37	14	82
Emily	137617	88	16	28	4
Hannah	145038	87	74	26	40
Mia	116854	18	67	23	16
Madison	119453	34	21	68	83
Abigail	135655	35	16	5	95
Ryan	112072	69	46	71	21
Brianna	100727	86	9	68	38
Nicholas	144961	91	10	82	27
Sarah	122911	29	87	20	3
William	107649	46	11	81	62
Tyler	130739	11	32	82	3
Madison	128105	12	4	89	27
Alyssa	142932	10	20	43	63
Daniel	117939	53	88	71	78
Joshua	129413	100	94	20	80
Alexander	121206	69	7	47	15
Olivia	117875	82	88	55	74
Nathan	103215	55	10	75	79
Natalie	148168	44	73	6	66
Ryan	137526	5	29	41	55
Isabella	146288	22	84	56	80
Olivia	112712	66	60	62	9
Nathan	142413	67	70	70	39
Matthew	108003	18	51	51	52
Jonathan	122531	40	70	51	1
Brianna	135527	70	37	96	24
Alyssa	129343	47	74	33	97
Olivia	124887	99	29	44	82
Jonathan	129150	82	100	69	80
Matthew	140807	91	62	57	18
Olivia	121197	65	29	46	20
Joseph	136433	65	47	3	95
Tyler	137186	37	21	50	89
Matthew	127753	26	16	12	28
Alexander	101617	60	57	47	97
William	142537	45	33	6	69
Ava	114815	15	55	49	60
Brianna	134004	10	24	58	98
Sophia	142794	64	20	80	46
Ryan	143518	11	35	9	48
Sophia	144917	30	43	76	38
Abigail	113833	18	58	83	66
Mia	135940	42	77	83	80
James	131828	41	7	18	81
Nathan	145752	83	53	87	59
Chloe	128908	87	91	47	82
Joshua	149511	58	82	40	11
Andrew	145253	84	7	89	69
Michael	115863	25	99	65	11
Emma	113910	65	69	60	67
Madison	126521	35	86	21	34
David	116852	8	67	26	87
Joshua	137939	56	95	68	88
Emma	129499	64	88	96	70
Nicholas	145953	34	2	31	18
Emma	122036	53	30	20	58
Abigail	105503	2	28	90	75
Ethan	113650	38	36	98	40
Jacob	107390	64	11	42	95
Sarah	103807	9	45	26	26
Joshua	137167	88	77	1	86
John	132236	52	84	47	6
Alyssa	113350	11	97	1	7
Ashley	114317	58	42	4	75
John	133741	16	97	25	67
Alexander	144267	16	21	79	38
Brianna	134678	51	24	65	72
Elizabeth	144354	95	64	28	25
Alyssa	103343	23	95	50	32
Emily	137414	34	45	88	86
Alyssa	128338	38	64	96	92
Mia	131406	93	97	27	35
Jonathan	118982	7	43	94	45
James	132866	86	52	96	30
Chloe	113502	28	23	23	81
Brianna	118992	66	59	81	0
Brianna	139895	91	44	76	16
Christopher	128293	20	22	65	50
Brianna	130811	47	10	88	11
Nicholas	131706	53	34	75	48
Matthew	136170	37	16	37	40
Isabella	131399	81	74	50	28
Jacob	112661	88	54	77	28
David	127048	35	43	71	61
Michael	120315	29	53	6	44
Jacob	147730	45	76	20	26
Ashley	108639	72	70	14	36
James	103403	40	95	55	64
David	120704	98	28	28	79
Natalie	113315	79	49	28	12
Ashley	117173	2	74	48	11
Ashley	136187	89	91	100	57
